Date,Open,High,Low,Close,Volume
21-Nov-14,163.33,165.01,163.26,164.64,0
20-Nov-14,164.53,164.61,162.68,163.46,0
19-Nov-14,164.15,164.93,164.08,164.63,0
18-Nov-14,162.86,163.81,162.56,163.81,0
17-Nov-14,161.04,162.74,160.99,162.25,0
14-Nov-14,161.77,162.34,161.09,161.66,0
13-Nov-14,161.54,161.82,160.96,161.73,0
12-Nov-14,161.59,162.29,161.28,161.58,0
11-Nov-14,159.02,161.55,159.01,161.08,0
10-Nov-14,159.75,160.46,158.82,158.82,0
7-Nov-14,161.11,161.32,159.37,159.57,0
6-Nov-14,161.95,162.12,161.10,161.19,0
5-Nov-14,162.32,162.67,161.39,161.88,0
4-Nov-14,163.09,163.15,162.08,162.08,0
3-Nov-14,163.80,163.84,162.35,163.22,0
31-Oct-14,163.13,163.54,162.35,163.41,0
30-Oct-14,163.07,163.19,161.88,162.65,0
29-Oct-14,160.62,162.94,160.62,162.94,0
28-Oct-14,161.09,161.29,159.80,160.01,0
27-Oct-14,163.05,163.41,161.13,161.20,0
24-Oct-14,163.53,163.68,162.27,162.71,0
23-Oct-14,163.09,164.00,162.84,163.77,0
22-Oct-14,162.53,163.46,162.44,163.11,0
21-Oct-14,162.55,162.70,161.33,161.65,0
20-Oct-14,162.75,163.85,161.78,161.78,0
17-Oct-14,159.30,161.91,159.11,161.61,0
16-Oct-14,158.14,159.93,157.92,159.08,0
15-Oct-14,159.26,159.67,159.10,159.22,0
14-Oct-14,157.76,159.10,157.67,158.59,0
13-Oct-14,159.12,159.39,158.07,158.07,0
10-Oct-14,159.92,160.22,159.15,159.88,0
9-Oct-14,161.56,162.33,161.33,161.33,0
8-Oct-14,161.45,161.80,160.48,160.48,0
7-Oct-14,161.94,163.36,161.53,162.92,0
6-Oct-14,161.36,161.80,160.17,161.56,0
3-Oct-14,161.94,162.31,159.76,160.34,0
2-Oct-14,165.00,165.00,161.20,161.50,0
1-Oct-14,166.58,167.06,165.82,166.06,0
30-Sep-14,166.31,167.12,165.68,166.76,0
29-Sep-14,166.62,167.04,165.07,167.04,0
26-Sep-14,167.11,167.11,165.78,167.02,0
25-Sep-14,169.03,169.47,168.28,168.79,0
24-Sep-14,168.74,169.34,168.10,168.10,0
23-Sep-14,169.29,169.32,168.44,168.50,0
22-Sep-14,170.10,170.45,169.52,169.94,0
19-Sep-14,170.15,171.31,169.74,170.50,0
18-Sep-14,170.10,170.31,169.31,169.95,0
17-Sep-14,168.78,170.03,168.74,169.70,0
16-Sep-14,168.54,168.58,167.65,167.75,0
15-Sep-14,167.25,168.16,166.86,168.04,0
12-Sep-14,167.30,168.31,166.87,167.73,0
11-Sep-14,167.87,168.63,166.76,166.76,0
10-Sep-14,169.47,169.47,167.28,167.61,0
9-Sep-14,172.24,172.40,169.89,169.89,0
8-Sep-14,171.84,172.70,171.83,172.13,0
5-Sep-14,170.54,171.74,170.54,171.26,0
4-Sep-14,171.96,172.21,170.69,171.04,0
3-Sep-14,171.11,171.96,171.10,171.96,0
2-Sep-14,170.18,171.05,170.18,170.97,0
1-Sep-14,169.34,170.20,169.31,170.19,0
29-Aug-14,170.08,170.65,168.98,168.98,0
28-Aug-14,169.89,170.83,169.82,170.42,0
27-Aug-14,169.13,169.94,169.13,169.67,0
26-Aug-14,170.59,170.67,169.12,169.13,0
25-Aug-14,170.64,170.90,169.99,170.24,0
22-Aug-14,171.66,171.86,170.54,170.87,0
21-Aug-14,170.85,171.29,169.56,171.29,0
20-Aug-14,170.12,170.99,170.12,170.99,0
19-Aug-14,170.47,170.84,169.98,170.17,0
18-Aug-14,170.13,170.48,169.79,170.08,0
15-Aug-14,170.22,170.47,169.84,169.88,0
14-Aug-14,170.73,171.08,169.28,170.24,0
13-Aug-14,169.66,170.80,169.47,170.80,0
12-Aug-14,169.04,169.60,168.94,169.28,0
11-Aug-14,167.72,168.53,167.72,168.53,0
8-Aug-14,167.00,167.38,166.41,166.53,0
7-Aug-14,166.40,167.09,166.09,167.04,0
